Profile Text,Link,Name,Designation,Department
"Education

Ph.D.

MBA

UGC(NET)",https://www.niet.co.in/faculty/ajay-gangele,Dr. Ajay Gangele,Assistant Professor,Master of Business Administration (MBA)
"Education

M.Tech",https://www.niet.co.in/faculty/atishey-mittal,Ms. Atishey Mittal,Assistant Professor,Mechanical Engineering
"Ms. Divya Raj is an Assistant Professor in the Data Science Department at NIET With a Master Degree in Computer Science and a background in Data Security, her research focuses on developing innovative algorithms for analyzing complex datasets.

Ms. Divya Raj is dedicated to equipping students with practical skills in Web Development using Full Stack technologies. Prior to academia, she contributed to cutting-edge projects in industry.",https://www.niet.co.in/faculty/divya-raj,Ms. Divya Raj,Assistant Professor,Data Science
Mr. Ranjan Kumar working as an assistant professor in ECE department at NIET. He holds a Master of Technology (M. Tech) degree in specialization Communication system form NIET Surat. He has 7+ year teaching experience.,https://www.niet.co.in/faculty/ranjan-kumar,Mr. Ranjan Kumar,Assistant Professor,Electronics & Communication Engineering
"Ms. Sanchi Kaushik currently serves as an Assistant Professor in the AIML Department at Noida Institute of Engineering & Technology, Greater Noida, U.P. With over 10 years of experience in the teaching , she actively engages in research focused on Artificial Intelligence (AI) and Machine Learning (ML).

She is Pursuing her doctorate in the field of AI & ML form Jaypee University of Information Technology. She has completed her post-graduation in Computer Science and Application from Punjabi University Patiala. She received her Bachelor’s degree in Information Technology from Punjab Technical University . Her professional responsibilities encompass teaching diverse courses, including Machine Learning, Algorithm Design, Data Structures , Problem Solving using Python and Deep Learning.",https://www.niet.co.in/faculty/sanchi-kaushik,Ms. Sanchi Kaushik,Assistant Professor,Not Defined
"Dr. Abhishek Pratap Singh holds a PhD in Mechanical Engineering from The NorthCap University, Gurugram. His thesis was titled ""Computational Analysis of Pollutant Dispersion Mechanism in an Urban Street Canyon"". He also has an M.Tech in Robotics Engineering from MDU Rohtak, a B.Tech in Mechanical Engineering from UPTU Lucknow, and a Diploma in Mechanical Engineering from BTE UP.

He has over 18 years of experience in academics, spanning university, autonomous, and affiliating institutions. His academic role encompasses teaching, learning, project guidance, administration, and research. He has taught various courses in mechanical engineering. His specializations include robotics and automation, CAD and CAE software, 3D printing, and design and engineering simulations. He has guided more than 40 B.Tech and 5 M.Tech projects, as well as 6 industry projects. Dr. Singh is proficient in various software, including SOLIDWORKS, 3D printing, ROBOGUIDE, ROBOANALYZER, ARDUINO, PLC, AUTOCAD, ANSYS, Technomatics, MATLAB, and SOLIDEDGE.

Dr. Singh has held various administrative responsibilities throughout his academic journey, including Deputy HoD, IQAC Coordinator, NAAC and NBA Coordinator, and coordinator roles for projects, examinations, ranking cell, audit, course review, and other activities. He has also played a leadership role in designing program curricula for automation and robotics, and has been involved in NBA and NAAC accreditations, conducting industrial MoUs and developing VAC courses on robotics and 3D printing. He has been certified in various disciplines, including RPA by UiPath, Startup India, Automation by Mitsubishi, ANSYS, Mindbox, and Autodesk. He has organized and attended several Faculty Development Programs (FDPs), conferences, workshops, and webinars. He has also received various awards and appreciations from different organizations. He also has been granted two patents, published one book, 18 international journal papers, and eight conference papers. He has reviewed papers for conferences and is an active reviewer of journal articles. He has executed seven industrially sponsored projects.",https://www.niet.co.in/faculty/abhishek-pratap-singh,Dr. Abhishek Pratap Singh,Professor & Head,Mechanical Engineering
"Mr. Ved Prakash is an Asst. Professor in Mechanical Engineering Dept. NIET Greater Noida. He has 5 year of teaching experience. He did his M.Tech from NIT Allahabad. His areas of interest include Design, FEM & Reverse Engineering.",https://www.niet.co.in/faculty/ved-praksh,Mr. Ved Prakash,Assistant Professor,Mechanical Engineering
Not Defined,https://www.niet.co.in/faculty/preeti-gera,Dr. Preeti Gera,Assistant Professor,Computer Science & Engineering
"Prasanna Kumar Singh received his doctorate degree from JIIT, Noida. He has an experience of more than 20 years in academics and research field. Presently, he is working as an Associate Professor in the Dept. of ECE at Noida Institute of Engineering and Technology, Greater Noida, India. He has published several papers in reputed Scopus indexed journals. His main research area interests are Conformal Microstrip Antenna, and SIW antenna.",https://www.niet.co.in/faculty/prasanna-kumar-singh,Dr. Prasanna Kumar Singh,Associate Professor,Electronics & Communication Engineering
"Mr. Shahazad Ali is an Assistant Professor in Mechanical Engineering Deptt. NIET Greater Noida. He has 13 year of teaching Experience. he did his B.Tech in Mechanical Engineering from AKTU Lucknow and M.Tech in Machine Design from Jamia MIllia Islamia, Delhi.

His areas of interest include Metal mtrix composites, FEA Analysis, and robotics.",https://www.niet.co.in/faculty/shahazad-ali,Mr. Shahzad Ali,Assistant Professor,Mechanical Engineering
"A tech enthusiast navigating the dynamic world of Computer Science and Engineering. With a foundation in Computer Science and Engineering from B.N. College of Engineering and Technology and a Master's from Babasaheb Bhimrao Ambedkar University, my journey has been an exploration of innovation and academic excellence.

Expertise: Mastery in languages like C++, Java, and Python, coupled with deep dives into Data Structures, Cloud Computing, and Machine Learning, fuel my passion for cutting-edge tech. Teaching Impact: As an Assistant Professor at esteemed institutions like Noida Institute of Technology and Management, Integral University, and Goel Institute of Technology and Management, my focus on Web Technology, Cloud Computing, and DevOps has shaped aspiring tech minds.

Innovative Contributions: Patents filed on IoT-driven Vehicle Data Systems and fog computing resource optimization showcase my commitment to innovation. My projects in website development have significantly enhanced the online presence of educational institutions and businesses.

Continuous Learning: Beyond classrooms, I delve into certifications spanning Artificial Intelligence, Python, and Cloud Security. Engaging in workshops, seminars, and conferences on emerging technologies is my constant pursuit. Core Essence: Adaptability, cooperation, and discipline define my work ethic. An innate curiosity drives my exploration, while integrity shapes every endeavor. The Journey Ahead: My path isn't just about personal growth; it's about contributing to technological advancements and embracing the ever-evolving tech landscape.",https://www.niet.co.in/faculty/ajay-kumar,Mr. Ajay Kumar,Assistant Professor,Computer Science
"I am Vivek ghildiyal working as an assistant professor in department of the computer science and engineering at NIET, Greater Noida. I have experience of around 6 months in the teaching and the acdemics field. I have recevied my masters degree in field of computer science and Engineering from the noida institute of engineering and technology, Greater noida. i have published 1 research paper. My Area of expertise is machine learning and Artifical intelligence",https://www.niet.co.in/faculty/vivek-ghildiyal,Mr. Vivek Ghildiyal,Assistant Professor,Computer Science & Engineering
"Neeti Taneja currently working as Assistant Professor in the Department of Computer Science and Engineering at Noida Institute of Engineering and Technology, Greater Noida.

She has received her B.Tech. degree in Computer Science and Engineering from Kurukshetra University, India, in 2011, M.E. in Computer Science and Engineering from Chitkara University, Rajpura, India, in 2015, and pursuing Ph.D. in Computer Science and Engineering from Sharda University, Greater Noida, India. She is having 8 years experience in teaching and academics. She has published more than 20 research papers in reputed journals and conferences.Her research interests include Image Processing, Image Forensics, Machine Learning.",https://www.niet.co.in/faculty/neeti-taneja,Ms. Neeti Taneja,Assistant Professor,Computer Science & Engineering
"I am Ibrar Ahmed, currently working as an Assistant Professor in CSE Department at NIET Greater Noida.

I earned my B.Tech in Computer Science and Engineering and M.Tech in Computer Science and Engineering from Jamia Millia Islamia, Central University, New Delhi. With a total of five years of experience, including two years in the industry, my expertise spans across IoT, Machine Learning, and Full Stack development. I've published over 13 research papers, authored two book chapters, reviewed two books, and hold five patents. I'm dedicated to sharing my knowledge and experience with the next generation and contributing to the ever-evolving field of technology and research.",https://www.niet.co.in/faculty/ibrar-ahmed,Mr. Ibrar Ahmed,Assistant Professor,Computer Science & Engineering
"Education

Ph.D.",https://www.niet.co.in/faculty/virender-kumar,Dr. Virender Kumar,Assistant Professor,Mechanical Engineering
"Dedicated and innovative computer science professional with a strong research background and a deep passion for technology. I hold a Master's degree in Computer Science .

Over the past 14 years, I have been actively involved in research projects focused on Web technology,Artificial Intelligence, machine learning, IOT. My expertise lies in web development in the field of computer science. Throughout my academic journey, I have contributed to several published research papers and have presented my work at prestigious conferences. Proficient in programming languages like C,C++,Python and Java, I possess a problem-solving mindset and a knack for identifying creative solutions to complex challenges.",https://www.niet.co.in/faculty/praveen-kumar,Mr. Praveen Kumar,Assistant Professor,Artificial Intelligence
"I am Rohit Chaudhary working as an Assistant Professor in Department of Computer Science and Engineering, NIET, Greater Noida, India. I have completed my B. Tech(CSE) from Gautama budh Technical University, Lucknow and M. Tech(CSE) from Galgotias University Gautama Budh Nagar.I have 10 years of Teaching Experience. My area of research are Information Security and Software Engineering. My subject areas are Compiler Design, theory of Automata, cloud computing and Software Engineering",https://www.niet.co.in/faculty/rohit-chaudhry,Mr. Rohit Chaudhry,Assistant Professor,Computer Science & Engineering
"Mr. Saurabh Namdev is working as an Assistant Professor in the department of Artificial Intelligence and Machine Learning at NIET, Greater Noida.

He has completed his masters from NIT, Nagpur with specialization in Computer Science and Engineering. He has a rich experience of working in institutes of National Importance like NIT, Jalandhar as an Assistant Professor under Information Security Education and Awareness Project. He has also worked as an Assistant Professor under TEQIP-III (A world Bank funded Project of Ministry of Education, Govt. of India).",https://www.niet.co.in/faculty/saurabh-namdev,Mr. Saurabh Namdev,Assistant Professor,Not Defined
"I Roshni Prasad currently working as an Assistant Professor in CSE Department at Noida Institute of Engineering and Technology, Greater Noida with a distinguished academic background holding M. Tech in Computer Science & Engineering from AKTU and B.E. in Computer Engineering. I have 2 years of experience in teaching. My research contributions encompass two papers in reputable journals. I also hold 2 patents. My area of expertise is AI, ML.",https://www.niet.co.in/faculty/roshni-prasad,Ms. Roshni Prasad,Assistant Professor,Computer Science & Engineering
"Dr. Chhaya Agarwal's qualifications and expertise in Environmental Biotech and Molecular Botany.

This profile highlights a strong academic background, spanning multiple degrees, along with significant experience and a focus on sustainable solutions. Dr. Chhaya Agarwal seems well-suited for roles in academia or research institutions.",https://www.niet.co.in/faculty/chhaya-agarwal,Dr. Chhaya agarwal,Assistant Professor,Biotechnology
"Mr. Amit Kumar is currently pursuing a Ph.D. degree in the field of Wireless Communication at National Institute of Technology Patna. He obtained his M.Tech degree in VLSI Design from AKTU Lucknow in 2009 and his B.E degree in Electronics & Communication Engineering from Dr. B.R Ambedkar University Agra in 2000.

Presently, he serves as an Assistant Professor in the Department of Electronics & Communication Engineering at NIET, Greater Noida, India. With over 22 years of extensive experience in both teaching and research, he has demonstrated a profound commitment to the academic field. His research pursuits primarily revolve around wireless communication. He has actively participated in more than 30 faculty development programs, training programs and workshops in various domains.",https://www.niet.co.in/faculty/amit-kumar,Mr. Amit Kumar,Assistant Professor,Electronics & Communication Engineering
"Ms. Divi Charu Kumar is currently an Assistant Professor of English at Noida Institute of Engineering and Technology, Greater Noida, India, where she is involved in teaching professional/business English to the students of Engineering, Computer Application and Management. She has experience of 3 years. Earlier, she worked as an Assistant Professor at Rama University in Kanpur, U.P for a year. Her primary areas of interest encompass English Communication Skills, Soft Skills, Technical Communication, Film and Literature, American Literature, and Gender Theory.

Ms. Kumar is a graduate in English Literature from Isabella Thoburn College, Lucknow; has a master’s degree in English Literature from Lucknow University. She also has a Graduate degree of B.Ed. (2020) She also qualified the NTA N.E.T. examination in June 2019 and CTET in December 2020.",https://www.niet.co.in/faculty/divi-charu-kumar,Ms. Divi Charu Kumar,Assistant Professor,Humanities & Applied Sciences
"Education

M.Tech",https://www.niet.co.in/faculty/sandeep-dubey,Mr. Sandeep Dubey,Assistant Professor,Mechanical Engineering
"Garima Jain, Deputy Head of the CSBS department, is a seasoned professional with six years of experience, including one year in the industry, and a profound commitment to research. She specializes in the dynamic domains of Artificial Intelligence and Machine Learning (AIML) and Blockchain in Healthcare.

Garima is a prolific researcher with approximately 25 published papers and six book chapters in esteemed journals, indexed by Scopus, IEEE, Springer, Elsevier, Wiley, Taylor and Francis, which reflect her expertise in these cutting-edge areas. Her work has been recognized with a Best Paper Award in an international conference and publication in high-impact factor journals indexed by SCI and ESCI. Notably, she also serves as a dedicated reviewer for Scopus-indexed conferences and contributes her insights to three prominent scientific journals.

In addition to her research accomplishments, Garima is deeply involved in the academic life of the CSBS department, where she has been instrumental in developing innovative curriculum enhancements that integrate the latest advancements in AIML and Blockchain. Her contributions to the department's academic programs have been invaluable, ensuring that students receive a cutting-edge education that prepares them for success in the rapidly evolving fields of technology and healthcare.",https://www.niet.co.in/faculty/garima-jain,Ms. Garima Jain,Assistant Professor and Dy. Head,Computer Science and Business Systems
